"audit_sha","path","source_set","language","bytes","wc_line_equivalent","sha256","declaration_count"
"fd5866d2580127142e46b58848da2471488f70c0","android/core/protocol/src/test/kotlin/fr/mina/gateway/protocol/MediaAssemblerTest.kt","test","kotlin","2977","69","86bab6b8af1cad10982e7e03e66348070f3ba2cb5f89ca6c10902d7eb5bf9358","2"
"fd5866d2580127142e46b58848da2471488f70c0","android/core/protocol/src/test/kotlin/fr/mina/gateway/protocol/MonotonicUlidTest.kt","test","kotlin","2015","60","88743a2b9cab7f9fca249325de5edfeada894c5210b4ae3aa541bb5e90aa6e5b","0"
"fd5866d2580127142e46b58848da2471488f70c0","android/core/transport/src/main/kotlin/fr/mina/gateway/transport/DeviceIdentity.kt","main","kotlin","2905","71","c5a4985764bb5b0795350fa830c555a9e923350d4563bf0069e820e2c2a26ff7","4"
"fd5866d2580127142e46b58848da2471488f70c0","android/core/transport/src/main/kotlin/fr/mina/gateway/transport/FirebaseFallback.kt","main","kotlin","2115","55","1ca476543be33a6bab66a2f077828368bfdad865b7108a8d9e74afb63d7e64dc","5"
"fd5866d2580127142e46b58848da2471488f70c0","android/core/transport/src/main/kotlin/fr/mina/gateway/transport/LanServer.kt","main","kotlin","1112","34","8c4961815079de58ecdd49af673e361bd1dfca2c6bd9c55f9fc4e854331e991f","3"
"fd5866d2580127142e46b58848da2471488f70c0","android/core/transport/src/main/kotlin/fr/mina/gateway/transport/TransportMultiplexer.kt","main","kotlin","3695","84","5effe51dcbc1548f1326c3add3fc94eed9c61c2bdc414fc04aa5accc931953d7","5"
"fd5866d2580127142e46b58848da2471488f70c0","android/core/transport/src/test/kotlin/fr/mina/gateway/transport/DeviceIdentityTest.kt","test","kotlin","1098","27","5349a3b98ae2701fffa3ba9188f98b548108425a56a57066285af83650ddd343","1"
"fd5866d2580127142e46b58848da2471488f70c0","android/core/transport/src/test/kotlin/fr/mina/gateway/transport/FirebaseFallbackTest.kt","test","kotlin","1302","28","451e4385db1e7dd67a9377e97732b90772621ef8c151ce2d7e4a89fc7e1409f6","4"
"fd5866d2580127142e46b58848da2471488f70c0","android/core/transport/src/test/kotlin/fr/mina/gateway/transport/TransportMultiplexerTest.kt","test","kotlin","2583","53","372f986f45e2dfcb1121deabbdecace1199c08c156991f11bf37ae6248ddefb0","3"
"fd5866d2580127142e46b58848da2471488f70c0","android/feature/camera/src/main/kotlin/fr/mina/gateway/camera/CameraFrameEncoder.kt","main","kotlin","3740","120","2ef44809e006694429c4f80e8b132d4252d43e346ba35248dbd6bbe751e25cf6","6"
"fd5866d2580127142e46b58848da2471488f70c0","android/feature/camera/src/main/kotlin/fr/mina/gateway/camera/CameraSessionController.kt","main","kotlin","2881","84","08babc839d3d9decc828050d26a0a58065838cce124cf1d5b3da1e52532a3928","9"
"fd5866d2580127142e46b58848da2471488f70c0","android/feature/camera/src/main/kotlin/fr/mina/gateway/camera/CameraStreamService.kt","main","kotlin","12421","297","a18a58d85325fecf14127218ad88204076694724ff6317bdf4585dd9e57c65dc","19"
"fd5866d2580127142e46b58848da2471488f70c0","android/feature/camera/src/test/kotlin/fr/mina/gateway/camera/CameraFrameEncoderTest.kt","test","kotlin","3600","91","2676bcac8ef282e5326057964521a6e83ddc8992a26f3d8d6240a36e90952484","6"
"fd5866d2580127142e46b58848da2471488f70c0","android/feature/camera/src/test/kotlin/fr/mina/gateway/camera/CameraSessionControllerTest.kt","test","kotlin","2112","47","051e46b201ee4aa4dc1a005a095373a13de80fe3342546dfb8de78e3e1b55aeb","3"
"fd5866d2580127142e46b58848da2471488f70c0","android/feature/chat/src/main/kotlin/fr/mina/gateway/feature/chat/ChatScreen.kt","main","kotlin","27822","605","56eac9735b9da36958134799fe8736e6d13e2858ca735f0735c34b68285367d4","15"
"fd5866d2580127142e46b58848da2471488f70c0","android/feature/chat/src/main/kotlin/fr/mina/gateway/feature/chat/ChatViewModel.kt","main","kotlin","5302","142","170ba0ea99a0f3ee8cf8b9ee16f82507ead7471f23c10d954aca61c9eda824ea","13"
"fd5866d2580127142e46b58848da2471488f70c0","android/feature/chat/src/main/kotlin/fr/mina/gateway/feature/chat/MediaPrep.kt","main","kotlin","3433","72","05052def16560bacfd6cb37efd888d6f8bb961be411347788383d78c76e5acdd","4"
"fd5866d2580127142e46b58848da2471488f70c0","android/feature/chat/src/main/kotlin/fr/mina/gateway/feature/chat/MinaChatTheme.kt","main","kotlin","2809","77","db7b63ae7f7c804bdfc2b4b3faff8c409e5086b2a6d96cf6c71166df37d2c1f4","1"
"fd5866d2580127142e46b58848da2471488f70c0","android/feature/chat/src/main/kotlin/fr/mina/gateway/feature/chat/VoiceNoteRecorder.kt","main","kotlin","3438","91","2181f845c771cea616a1041a018c62c59c7653993016ab6a191097929574c8c2","4"
"fd5866d2580127142e46b58848da2471488f70c0","android/feature/voice/src/main/kotlin/fr/mina/gateway/feature/voice/VoiceDictation.kt","main","kotlin","3890","90","b411d6f2e6dd1e77da638dff4eb225d493e908aba41f01170f2fcba3946d70f3","14"
